卫视频道,#genre#
江苏卫视,http://69.30.246.194/live/jsws.m3u8
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
东方卫视,http://69.30.246.194/live/dfws.m3u8
吉林卫视,http://23.237.228.134/live8/jilin.m3u8
东南卫视,http://23.237.228.134/live8/gansu.m3u8
广西卫视,http://23.237.228.134/live6/guangxi.m3u8
浙江卫视,http://23.237.228.134/live6/zhejiang.m3u8
安徽卫视,http://23.237.228.134/live8/anhui.m3u8
广西卫视,http://23.237.228.134/live6/guizhou.m3u8
天津卫视,http://23.237.228.134/live8/tianjing.m3u8
贵州卫视,http://23.237.228.134/live6/hainan.m3u8
重庆卫视,http://23.237.228.134/live6/chongqing.m3u8
湖南卫视,http://23.237.228.134/live6/hunan.m3u8
青海卫视,http://23.237.228.134/live8/qinghai.m3u8
内蒙古卫视,http://23.237.228.134/live8/neimenggu.m3u8
山西卫视,http://23.237.228.134/live8/shanxi.m3u8
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
湖北卫视,http://23.237.228.134/live6/hubei.m3u8
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8
青海卫视,http://23.237.228.134/live8/shandong.m3u8
深圳卫视,http://23.237.228.134/live6/shenzhen.m3u8
广东卫视,http://23.237.228.134/live6/guangdong.m3u8
江西卫视,http://23.237.228.134/live8/jiangxi.m3u8
云南卫视,http://23.237.228.134/live8/yunnan.m3u8
东方卫视,http://23.237.228.134/live6/dongnan.m3u8
辽宁卫视,http://23.237.228.134/live8/liaoning.m3u8
河北卫视,http://23.237.228.134/live8/hebei.m3u8
贵州卫视,http://23.237.228.134/live6/guizhou.m3u8
江苏卫视,http://38.75.136.137:98/gslb/dsdqca/jswshd.m3u8?auth=test20251009
天津卫视,http://38.75.136.137:98/gslb/dsdqca/tjwshd.m3u8?auth=test20251009
东方卫视,http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub
