影视轮播频道,#genre#
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
江苏影视,https://mgtv.ottiptv.cc/mg/626064697.m3u8?userid=5559462299&sign=25ada22694aead058d2ea92bdce535b3dd3aef5d2569ce2e5a951e0d9131c0c4ff62c46ec9aeb2494e218c6b82e8c9aa30ce75f4b4ddb2df93337b203a793c3ca0d225af7fd0bed3ac29c6f52a32864124&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
CHC电影,http://218.15.183.23:9901/tsfile/live/23044_1.m3u8
CHC电影,http://120.198.101.106:9901/tsfile/live/1053_1.m3u8?key=txiptv
CHC电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
IPTV经典电影,http://43.138.0.72:35455/yy/1382754187
辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8
湖北影视,http://yp.qqqtv.top/1/api.php?id=%E6%B9%96%E5%8C%97%E5%BD%B1%E8%A7%86&auth=666858
湖南电视剧,http://yp.qqqtv.top/1/api.php?id=%E6%B9%96%E5%8D%97%E7%94%B5%E8%A7%86%E5%89%A7&auth=666858
湖南电影,http://yp.qqqtv.top/1/api.php?id=%E6%B9%96%E5%8D%97%E7%94%B5%E5%BD%B1&auth=666858
