更新时间,#genre#
2026-04-05 06:38:07,url
央视频道,#genre#:
CCTV1,http://183.162.104.137:8888/udp/238.1.78.166:7200
CCTV2,http://183.162.104.137:8888/udp/238.1.78.235:7752
CCTV3,http://183.162.104.137:8888/udp/238.1.78.170:7232
CCTV8,http://183.162.104.137:8888/udp/238.1.78.173:7256
CCTV9,http://183.162.104.137:8888/udp/238.1.78.240:7792
CCTV10,http://183.162.104.137:8888/udp/238.1.78.241:7800
CCTV15,http://183.162.104.137:8888/udp/238.1.78.222:7648

卫视频道,#genre#:
三沙卫视,http://183.164.63.130:5000/udp/238.1.78.27:6144
东南卫视,http://183.162.104.137:8888/udp/238.1.78.22:6104
云南卫视,http://183.164.63.130:5000/udp/238.1.78.89:6584$标清
云南卫视,http://183.162.104.137:8888/udp/238.1.78.89:6584$标清
兵团卫视,http://183.162.104.137:8888/udp/238.1.78.104:6704
内蒙古卫视,http://183.164.63.130:5000/udp/238.1.78.103:6696
内蒙古卫视,http://183.162.104.137:8888/udp/238.1.78.103:6696
北京卫视,http://183.162.104.137:8888/udp/238.1.78.162:7168
北京卫视,http://183.164.63.130:5000/udp/238.1.78.162:7168
厦门卫视,http://183.164.63.130:5000/udp/238.1.78.246:7840
吉林卫视,http://183.164.63.130:5000/udp/238.1.78.93:6616$标清
四川卫视,http://183.164.63.130:5000/udp/238.1.78.30:6168
四川卫视,http://183.164.63.130:5000/udp/238.1.78.71:6440$标清
四川卫视,http://183.162.104.137:8888/udp/238.1.78.30:6168
天津卫视,http://183.164.63.130:5000/udp/238.1.78.91:6600$标清
天津卫视,http://183.162.104.137:8888/udp/238.1.78.91:6600$标清
天津卫视,http://183.162.104.137:8888/udp/238.1.78.20:6088
宁夏卫视,http://183.162.104.137:8888/udp/238.1.78.109:6744
安徽卫视,http://183.164.63.130:5000/udp/238.1.79.27:4328
安徽卫视,http://183.164.63.130:5000/udp/238.1.78.150:7072
安徽卫视,http://183.162.104.137:8888/udp/238.1.79.27:4328
山东卫视,http://183.164.63.130:5000/udp/238.1.78.169:7224
山东卫视,http://183.162.104.137:8888/udp/238.1.78.169:7224
山西卫视,http://183.164.63.130:5000/udp/238.1.78.95:6632$标清
山西卫视,http://183.162.104.137:8888/udp/238.1.78.95:6632$标清
广东卫视,http://183.164.63.130:5000/udp/238.1.78.161:7160
广东卫视,http://183.164.63.130:5000/udp/238.1.78.68:6416$标清
广东卫视,http://183.162.104.137:8888/udp/238.1.78.68:6416$标清
广西卫视,http://183.164.63.130:5000/udp/238.1.78.70:6432$标清
新疆卫视,http://183.162.104.137:8888/udp/238.1.78.110:6752
江苏卫视,http://183.164.63.130:5000/udp/238.1.78.165:7192
江苏卫视,http://183.162.104.137:8888/udp/238.1.78.165:7192
江苏卫视,http://183.162.104.137:8888/udp/238.1.78.64:6384$标清
江西卫视,http://183.162.104.137:8888/udp/238.1.78.86:6560$标清
江西卫视,http://183.164.63.130:5000/udp/238.1.78.86:6560$标清
河北卫视,http://183.164.63.130:5000/udp/238.1.78.245:7832
河北卫视,http://183.164.63.130:5000/udp/238.1.78.87:6568$标清
河南卫视,http://183.164.63.130:5000/udp/238.1.78.69:6424$标清
河南卫视,http://183.164.63.130:5000/udp/238.1.79.65:4632
河南卫视,http://183.162.104.137:8888/udp/238.1.78.69:6424$标清
浙江卫视,http://183.164.63.130:5000/udp/238.1.78.164:7184
浙江卫视,http://183.162.104.137:8888/udp/238.1.78.164:7184
海南卫视,http://183.164.63.130:5000/udp/238.1.79.49:4504
深圳卫视,http://183.164.63.130:5000/udp/238.1.78.99:6664$标清
湖北卫视,http://183.164.63.130:5000/udp/238.1.78.94:6624$标清
湖南卫视,http://183.164.63.130:5000/udp/238.1.78.160:7152
湖南卫视,http://183.162.104.137:8888/udp/238.1.78.160:7152
甘肃卫视,http://183.164.63.130:5000/udp/238.1.79.36:4400
甘肃卫视,http://183.164.63.130:5000/udp/238.1.78.108:6736$标清
西藏卫视,http://183.162.104.137:8888/udp/238.1.78.101:6680
贵州卫视,http://183.164.63.130:5000/udp/238.1.78.244:7824
贵州卫视,http://183.164.63.130:5000/udp/238.1.78.90:6592$标清
辽宁卫视,http://183.164.63.130:5000/udp/238.1.78.21:6096
重庆卫视,http://183.164.63.130:5000/udp/238.1.78.31:6176
重庆卫视,http://183.162.104.137:8888/udp/238.1.78.72:6448$标清
重庆卫视,http://183.164.63.130:5000/udp/238.1.78.72:6448$标清
陕西卫视,http://183.164.63.130:5000/udp/238.1.78.88:6576$标清
黑龙江卫视,http://183.164.63.130:5000/udp/238.1.78.159:7144
黑龙江卫视,http://183.162.104.137:8888/udp/238.1.78.98:6656$标清
黑龙江卫视,http://183.164.63.130:5000/udp/238.1.78.98:6656$标清
黑龙江卫视,http://183.162.104.137:8888/udp/238.1.78.159:7144

安徽频道,#genre#:
临泉新闻频道,http://183.162.104.137:8888/udp/238.1.78.29:6160
亳州综合频道,http://183.164.63.130:5000/udp/238.1.78.128:6896
六安社会生活,http://183.162.104.137:8888/udp/238.1.78.145:7032
六安综合频道,http://183.162.104.137:8888/udp/238.1.78.144:7024
利辛新闻综合,http://183.164.63.130:5000/udp/238.1.78.196:7440
南陵新闻综合,http://183.162.104.137:8888/udp/238.1.78.189:7384
固镇新闻综合,http://183.164.63.130:5000/udp/238.1.79.47:4488
宁国新闻综合,http://183.162.104.137:8888/udp/238.1.78.216:7600
安徽公共频道,http://183.164.63.130:5000/udp/238.1.79.43:4456
安徽公共频道,http://183.162.104.137:8888/udp/238.1.79.43:4456
安徽农业科教,http://183.164.63.130:5000/udp/238.1.79.40:4432
安徽国际频道,http://183.164.63.130:5000/udp/238.1.78.61:6360
安徽国际频道,http://183.162.104.137:8888/udp/238.1.78.61:6360
安徽影视频道,http://183.164.63.130:5000/udp/238.1.79.42:4448
安徽影视频道,http://183.162.104.137:8888/udp/238.1.79.42:4448
安徽综艺体育,http://183.164.63.130:5000/udp/238.1.79.41:4440
宿州公共频道,http://183.164.63.130:5000/udp/238.1.78.122:6848
旌德新闻综合,http://183.162.104.137:8888/udp/238.1.78.215:7592
枞阳电视台,http://183.162.104.137:8888/udp/238.1.78.210:7552
桐城综合频道,http://183.162.104.137:8888/udp/238.1.78.28:6152
池州新闻综合,http://183.162.104.137:8888/udp/238.1.78.147:7048
泗县新闻频道,http://183.162.104.137:8888/udp/238.1.78.193:7416
淮北新闻综合,http://183.162.104.137:8888/udp/238.1.78.135:6952
淮北经济生活,http://183.164.63.130:5000/udp/238.1.78.136:6960
淮北经济生活,http://183.162.104.137:8888/udp/238.1.78.136:6960
淮南新闻综合,http://183.162.104.137:8888/udp/238.1.78.113:6776
湾沚综合频道,http://183.162.104.137:8888/udp/238.1.78.187:7368
滁州新闻综合,http://183.164.63.130:5000/udp/238.1.78.132:6928
滁州科教频道,http://183.164.63.130:5000/udp/238.1.78.134:6944
繁昌新闻综合,http://183.162.104.137:8888/udp/238.1.78.190:7392
萧县新闻综合,http://183.164.63.130:5000/udp/238.1.79.46:4480
蒙城新闻频道,http://183.164.63.130:5000/udp/238.1.79.19:4264
蒙城新闻频道,http://183.162.104.137:8888/udp/238.1.79.19:4264
郎溪新闻频道,http://183.162.104.137:8888/udp/238.1.78.214:7584
铜陵教育科技,http://183.162.104.137:8888/udp/238.1.78.141:7000
阜阳新闻综合,http://183.164.63.130:5000/udp/238.1.78.124:6864
阜阳生活频道,http://183.164.63.130:5000/udp/238.1.78.125:6872
霍邱新闻综合,http://183.162.104.137:8888/udp/238.1.78.119:6824
黄山文旅频道,http://183.164.63.130:5000/udp/238.1.78.131:6920

其他频道,#genre#:
CETV1,http://183.164.63.130:5000/udp/238.1.78.158:7136
CETV1,http://183.162.104.137:8888/udp/238.1.78.158:7136
CETV4,http://183.164.63.130:5000/udp/238.1.78.253:7896
上海生活时尚,http://183.164.63.130:5000/udp/238.1.78.155:7112
央视台球,http://183.162.104.137:8888/udp/238.1.79.59:4608
女性时尚,http://183.162.104.137:8888/udp/238.1.79.55:4576
山东教育频道,http://183.164.63.130:5000/udp/238.1.78.254:7904
山东教育频道,http://183.162.104.137:8888/udp/238.1.78.254:7904
湖南快乐垂钓,http://183.164.63.130:5000/udp/238.1.79.31:4360
湖南快乐垂钓,http://183.162.104.137:8888/udp/238.1.79.31:4360
湖南茶频道,http://183.162.104.137:8888/udp/238.1.79.30:4352
电视指南,http://183.162.104.137:8888/udp/238.1.79.53:4560
风云音乐,http://183.164.63.130:5000/udp/238.1.79.64:4648
风云音乐,http://183.162.104.137:8888/udp/238.1.79.64:4648


404: Not Found
