# 北京市电信 IP速度测试结果 - 有效IP 11/13
# 测试时间: 2026-02-03 02:41:44
# IP:端口 速度 连接时间(ms)
115.171.216.84:4000 76.7KB/s (ping:272ms)
49.232.181.26:6000 74.1KB/s (ping:272ms)
1.92.77.206:7170 31.4KB/s (ping:257ms)
123.249.108.37:7100 31.3KB/s (ping:241ms)
1.94.199.208:14265 31.3KB/s (ping:235ms)
1.92.111.226:7003 31.2KB/s (ping:258ms)
1.94.251.87:4155 31.2KB/s (ping:263ms)
1.94.206.19:8688 31.2KB/s (ping:255ms)
123.249.27.48:3689 31.2KB/s (ping:255ms)
113.44.160.132:3522 30.9KB/s (ping:238ms)
123.249.111.29:7272 30.9KB/s (ping:257ms)

# 失败统计 (2个):
# 123.122.160.56:4022 - 链接超时
# 124.163.112.121:6001 - 链接错误
