# 广东电信 IP速度测试结果 - 有效IP 10/13
# 测试时间: 2026-01-06 02:07:38
# IP:端口 速度 连接时间(ms)
116.22.147.183:54321 85.1KB/s (ping:245ms)
14.112.100.72:4022 84.3KB/s (ping:237ms)
113.109.248.223:9999 83.8KB/s (ping:236ms)
116.21.204.108:9530 83.7KB/s (ping:238ms)
183.30.202.148:8000 83.5KB/s (ping:242ms)
119.135.192.194:10000 83.3KB/s (ping:241ms)
113.66.40.167:10000 83.2KB/s (ping:238ms)
113.102.35.71:8880 80.5KB/s (ping:245ms)
113.102.83.21:4022 80.1KB/s (ping:249ms)
14.153.176.188:8686 45.1KB/s (ping:249ms)

# 失败统计 (3个):
# 183.35.50.103:8886 - HTTP错误
# 119.125.115.212:8000 - 链接超时
# 113.68.60.169:8889 - 链接超时
