# 江苏电信 IP速度测试结果 - 有效IP 9/17
# 测试时间: 2026-03-02 02:43:27
# IP:端口 速度 连接时间(ms)
222.94.25.56:8888 90.0KB/s (ping:247ms)
121.230.235.128:8000 85.1KB/s (ping:247ms)
114.226.7.98:18888 82.7KB/s (ping:251ms)
117.82.88.137:5555 82.2KB/s (ping:235ms)
49.74.72.204:8888 81.0KB/s (ping:239ms)
114.238.59.184:4000 79.8KB/s (ping:226ms)
121.237.245.83:8888 67.3KB/s (ping:242ms)
117.86.48.47:7777 54.2KB/s (ping:254ms)
49.85.97.234:4000 12.4KB/s (ping:260ms)

# 失败统计 (8个):
# 49.76.111.135:25448 - 链接超时
# 49.76.111.135:8032 - 链接超时
# 49.76.111.135:8881 - 链接超时
# 49.76.111.135:7000 - 链接超时
# 49.76.111.135:19530 - 链接超时
# 49.76.111.135:11434 - 链接超时
# 49.76.111.135:49152 - 链接超时
# 49.76.111.135:992 - 链接超时
